kind,name,lat,lng
Fuse,TS_8414,32.971153,-105.992603
Fuse,FUSE_820,32.963691,-105.992478
Fuse,FUSE_8832,32.967254,-106.014456
Fuse,FUSE_1186,32.953844,-106.027698
Fuse,FUSE_8896,32.981952,-106.004726
Switch,SWIT_1245-A,32.891568,-105.992013
Switch,SWIT_1245-B,32.891568,-105.992013
Switch,SWIT_1255-A,32.892507,-106.026561
Switch,SWIT_1255-B,32.892507,-106.026561
Switch,SWIT_1349-A,32.911853,-106.02673
Switch,SWIT_1349-B,32.911853,-106.02673
Switch,SWIT_1246-A,32.840145,-106.06446
Switch,SWIT_1246-B,32.840145,-106.06446
Switch,SWIT_484-A,32.838668,-106.068215
Switch,SWIT_484-B,32.838668,-106.068215
Switch,SWIT_508-A,32.853211,-106.013327
Switch,SWIT_343-A,32.813125,-106.143461
Switch,SWIT_343-B,32.813125,-106.143461
Switch,SWIT_1371-A,32.82875,-106.074446
Switch,SWIT_1371-B,32.82875,-106.074446
Switch,SWIT_487-A,32.829829,-106.075179
Switch,SWIT_487-B,32.829829,-106.075179
Switch,SWIT_275-A,32.833945,-106.08081
Switch,SWIT_347-A,32.834841,-106.078723
Switch,SWIT_347-B,32.834841,-106.078723
Switch,SWIT_348-A,32.834844,-106.078709
Switch,SWIT_348-B,32.834844,-106.078709
Switch,SWIT_345-A,32.835477,-106.077332
Switch,SWIT_345-B,32.835477,-106.077332
Switch,SWIT_346-A,32.835475,-106.077328
Switch,SWIT_346-B,32.835475,-106.077328
Switch,SWIT_344-A,32.835479,-106.077327
Switch,SWIT_344-B,32.835479,-106.077327
Switch,SWIT_349-A,32.83483,-106.07871
Switch,SWIT_349-B,32.83483,-106.07871
Switch,SWIT_351-A,32.834134,-106.078328
Switch,SWIT_351-B,32.834134,-106.078328
Switch,SWIT_350-A,32.834134,-106.078324
Switch,SWIT_350-B,32.834134,-106.078324
Switch,SWIT_352-A,32.83427,-106.077455
Switch,SWIT_352-B,32.83427,-106.077455
Switch,SWIT_268-A,32.834278,-106.077452
Switch,SWIT_268-B,32.834278,-106.077452
Switch,SWIT_181-A,32.834272,-106.077428
Switch,SWIT_181-B,32.834272,-106.077428
Switch,SWIT_180-A,32.834266,-106.076504
Switch,SWIT_180-B,32.834266,-106.076504
Switch,SWIT_179-A,32.834265,-106.076495
Switch,SWIT_179-B,32.834265,-106.076495
Switch,SWIT_178-A,32.834162,-106.075905
Switch,SWIT_178-B,32.834162,-106.075905
Switch,SWIT_175-A,32.834645,-106.075189
Switch,SWIT_175-B,32.834645,-106.075189
Switch,SWIT_173-A,32.83464,-106.075179
Switch,SWIT_173-B,32.83464,-106.075179
Switch,SWIT_172-A,32.834656,-106.07517
Switch,SWIT_172-B,32.834656,-106.07517
Switch,SWIT_165-A,32.835667,-106.073859
Switch,SWIT_165-B,32.835667,-106.073859
Switch,SWIT_166-A,32.835672,-106.073853
Switch,SWIT_166-B,32.835672,-106.073853
Switch,SWIT_170-A,32.836017,-106.073398
Switch,SWIT_170-B,32.836017,-106.073398
Switch,SWIT_171-A,32.836022,-106.073391
Switch,SWIT_171-B,32.836022,-106.073391
Switch,SWIT_167-A,32.835806,-106.073992
Switch,SWIT_167-B,32.835806,-106.073992
Switch,SWIT_169-A,32.835812,-106.073998
Switch,SWIT_169-B,32.835812,-106.073998
Switch,SWIT_168-A,32.835811,-106.073992
Switch,SWIT_168-B,32.835811,-106.073992
Switch,SWIT_174-A,32.834657,-106.075188
Switch,SWIT_174-B,32.834657,-106.075188
Switch,SWIT_176-A,32.834781,-106.075353
Switch,SWIT_176-B,32.834781,-106.075353
Switch,SWIT_177-A,32.834787,-106.075368
Switch,SWIT_177-B,32.834787,-106.075368
Switch,SWIT_275-B,32.833945,-106.08081
Switch,SWIT_1244-A,32.887148,-106.003352
Switch,SWIT_1244-B,32.887148,-106.003352
Switch,SWIT_508-B,32.853211,-106.013327
Switch,SWIT_340-A,32.908366,-105.973296
Switch,SWIT_340-B,32.908366,-105.973296
Switch,SWIT_332-A,32.981684,-105.910762
Switch,SWIT_332-B,32.981684,-105.910762
Switch,SWIT_926-A,32.987585,-105.851346
Switch,SWIT_926-B,32.987585,-105.851346
Switch,SWIT_331-A,32.98614,-105.83492
Switch,SWIT_331-B,32.98614,-105.83492
Switch,SWIT_329-A,32.986792,-105.827942
Switch,SWIT_329-B,32.986792,-105.827942
Switch,SWIT_330-A,32.983542,-105.827536
Switch,SWIT_330-B,32.983542,-105.827536
Switch,SWIT_318-A,32.947157,-105.833159
Switch,SWIT_317-A,32.955285,-105.826101
Switch,SWIT_318-B,32.947157,-105.833159
Switch,SWIT_1365-A,32.9601,-105.790671
Switch,SWIT_1365-B,32.9601,-105.790671
Switch,SWIT_927-A,32.954317,-105.750685
Switch,SWIT_927-B,32.954317,-105.750685
Switch,SWIT_234-A,32.954023,-105.749867
Switch,SWIT_317-B,32.955285,-105.826101
Switch,SWIT_328-A,32.985429,-105.814521
Switch,SWIT_328-B,32.985429,-105.814521
Switch,SWIT_293-A,32.973274,-105.754831
Switch,SWIT_263-A,32.85388,-105.970489
Switch,SWIT_263-B,32.85388,-105.970489
Switch,SWIT_265-A,32.801435,-105.978552
Switch,SWIT_1354-A,32.852668,-105.969162
Switch,SWIT_1354-B,32.852668,-105.969162
Switch,SWIT_354-A,32.828015,-105.973286
Switch,SWIT_354-B,32.828015,-105.973286
Switch,SWIT_356-A,32.825043,-105.973779
Switch,SWIT_356-B,32.825043,-105.973779
Switch,SWIT_355-A,32.802305,-105.977579
Switch,SWIT_355-B,32.802305,-105.977579
Switch,SWIT_357-A,32.800328,-105.977911
Switch,SWIT_357-B,32.800328,-105.977911
Switch,SWIT_358-A,32.744488,-105.987255
Switch,SWIT_358-B,32.744488,-105.987255
Switch,SWIT_359-A,32.744563,-105.989461
Switch,SWIT_362-A,32.659657,-106.004256
Switch,SWIT_362-B,32.659657,-106.004256
Switch,SWIT_919-A,32.632863,-106.008848
Switch,SWIT_919-B,32.632863,-106.008848
Switch,SWIT_265-B,32.801435,-105.978552
Switch,SWIT_264-A,32.826124,-105.974401
Switch,SWIT_264-B,32.826124,-105.974401
Switch,SWIT_361-A,32.82642,-105.962825
Switch,SWIT_361-B,32.82642,-105.962825
Switch,SWIT_432-A,33.003859,-106.026217
Switch,SWIT_432-B,33.003859,-106.026217
Switch,SWIT_921-A,33.005461,-106.027792
Switch,SWIT_921-B,33.005461,-106.027792
Switch,SWIT_433-A,33.047486,-106.050963
Switch,SWIT_501-A,33.075481,-106.045398
Switch,SWIT_434-A,33.065905,-106.04537
Switch,SWIT_434-B,33.065905,-106.04537
Switch,SWIT_499-A,33.00355,-106.036232
Switch,SWIT_499-B,33.00355,-106.036232
Switch,SWIT_502-A,33.076819,-106.080046
Switch,SWIT_502-B,33.076819,-106.080046
Switch,SWIT_503-A,33.076862,-106.08141
Switch,SWIT_503-B,33.076862,-106.08141
Switch,SWIT_501-B,33.075481,-106.045398
Switch,SWIT_1364-A,33.078574,-106.045289
Switch,SWIT_1364-B,33.078574,-106.045289
Switch,SWIT_504-A,33.120689,-106.043893
Switch,SWIT_504-B,33.120689,-106.043893
Switch,SWIT_436-A,33.317544,-106.077508
Switch,SWIT_436-B,33.317544,-106.077508
Switch,SWIT_437-A,33.317573,-106.077515
Switch,SWIT_437-B,33.317573,-106.077515
Switch,SWIT_913-A,33.390263,-106.07373
Switch,SWIT_440-A,33.155242,-106.169961
Switch,SWIT_440-B,33.155242,-106.169961
Switch,SWIT_239-A,33.002272,-106.027774
Switch,SWIT_240-A,32.952465,-105.997696
Switch,SWIT_240-B,32.952465,-105.997696
Switch,SWIT_239-B,33.002272,-106.027774
Switch,SWIT_1353-A,32.917277,-105.998162
Switch,SWIT_217-A,32.834826,-106.080321
Switch,SWIT_217-B,32.834826,-106.080321
Switch,SWIT_936-A,32.998482,-105.835863
Switch,SWIT_936-B,32.998482,-105.835863
Switch,SWIT_327-A,32.944953,-105.835865
Switch,SWIT_327-B,32.944953,-105.835865
Switch,SWIT_360-A,32.743526,-105.980997
Switch,SWIT_360-B,32.743526,-105.980997
Switch,SWIT_326-A,32.954062,-105.993559
Switch,SWIT_461-A,32.831707,-106.071875
Switch,SWIT_461-B,32.831707,-106.071875
Switch,SWIT_460-A,32.831715,-106.07188
Switch,SWIT_460-B,32.831715,-106.07188
Switch,SWIT_462-A,32.831953,-106.072139
Switch,SWIT_462-B,32.831953,-106.072139
Switch,SWIT_463-A,32.831961,-106.072144
Switch,SWIT_463-B,32.831961,-106.072144
Switch,SWIT_464-A,32.832477,-106.072543
Switch,SWIT_464-B,32.832477,-106.072543
Switch,SWIT_466-A,32.832483,-106.072539
Switch,SWIT_466-B,32.832483,-106.072539
Switch,SWIT_467-A,32.832509,-106.072425
Switch,SWIT_467-B,32.832509,-106.072425
Switch,SWIT_468-A,32.832514,-106.072424
Switch,SWIT_468-B,32.832514,-106.072424
Switch,SWIT_465-A,32.832487,-106.072547
Switch,SWIT_465-B,32.832487,-106.072547
Switch,SWIT_469-A,32.83308,-106.072692
Switch,SWIT_469-B,32.83308,-106.072692
Switch,SWIT_109-A,32.83308,-106.072695
Switch,SWIT_109-B,32.83308,-106.072695
Switch,SWIT_470-A,32.833086,-106.072691
Switch,SWIT_470-B,32.833086,-106.072691
Switch,SWIT_929-A,32.833573,-106.07283
Switch,SWIT_929-B,32.833573,-106.07283
Switch,SWIT_111-A,32.833585,-106.07283
Switch,SWIT_111-B,32.833585,-106.07283
Switch,SWIT_211-A,32.83359,-106.07284
Switch,SWIT_211-B,32.83359,-106.07284
Switch,SWIT_108-A,32.833083,-106.072695
Switch,SWIT_108-B,32.833083,-106.072695
Switch,SWIT_184-A,32.830902,-106.073325
Switch,SWIT_184-B,32.830902,-106.073325
Switch,SWIT_185-A,32.830907,-106.073326
Switch,SWIT_185-B,32.830907,-106.073326
Switch,SWIT_198-A,32.831897,-106.075013
Switch,SWIT_198-B,32.831897,-106.075013
Switch,SWIT_195-A,32.831889,-106.075017
Switch,SWIT_195-B,32.831889,-106.075017
Switch,SWIT_193-A,32.831311,-106.075032
Switch,SWIT_193-B,32.831311,-106.075032
Switch,SWIT_200-A,32.831307,-106.075028
Switch,SWIT_200-B,32.831307,-106.075028
Switch,SWIT_187-A,32.830451,-106.074474
Switch,SWIT_187-B,32.830451,-106.074474
Switch,SWIT_189-A,32.830435,-106.074474
Switch,SWIT_189-B,32.830435,-106.074474
Switch,SWIT_202-A,32.829895,-106.074597
Switch,SWIT_202-B,32.829895,-106.074597
Switch,SWIT_207-A,32.829807,-106.074568
Switch,SWIT_182-A,32.8309,-106.07333
Switch,SWIT_182-B,32.8309,-106.07333
Switch,SWIT_1355-A,32.830448,-106.074483
Switch,SWIT_1355-B,32.830448,-106.074483
Switch,SWIT_191-A,32.830434,-106.074484
Switch,SWIT_191-B,32.830434,-106.074484
Switch,SWIT_1356-A,32.829803,-106.074589
Switch,SWIT_183-A,32.830902,-106.073326
Switch,SWIT_183-B,32.830902,-106.073326
Switch,SWIT_199-A,32.830908,-106.073335
Switch,SWIT_199-B,32.830908,-106.073335
Switch,SWIT_197-A,32.831899,-106.075028
Switch,SWIT_197-B,32.831899,-106.075028
Switch,SWIT_196-A,32.83189,-106.075025
Switch,SWIT_196-B,32.83189,-106.075025
Switch,SWIT_192-A,32.831307,-106.075038
Switch,SWIT_192-B,32.831307,-106.075038
Switch,SWIT_194-A,32.831302,-106.07503
Switch,SWIT_194-B,32.831302,-106.07503
Switch,SWIT_186-A,32.83045,-106.074479
Switch,SWIT_186-B,32.83045,-106.074479
Switch,SWIT_190-A,32.830434,-106.074479
Switch,SWIT_190-B,32.830434,-106.074479
Switch,SWIT_204-A,32.829894,-106.0746
Switch,SWIT_204-B,32.829894,-106.0746
Switch,SWIT_459-A,32.829808,-106.074579
Switch,SWIT_207-B,32.829807,-106.074568
Switch,SWIT_334-A,33.001643,-105.865795
Switch,SWIT_334-B,33.001643,-105.865795
Switch,SWIT_430-A,32.966011,-106.001241
Switch,SWIT_430-B,32.966011,-106.001241
Switch,SWIT_333-B,33.040367,-105.836115
Switch,SWIT_489-B,32.562329,-106.02062
Switch,SWIT_459-B,32.829808,-106.074579
Switch,SWIT_1353-B,32.917277,-105.998162
Switch,SWIT_326-B,32.954062,-105.993559
Switch,SWIT_1356-B,32.829803,-106.074589
Switch,SWIT_433-B,33.047486,-106.050963
Switch,SWIT_359-B,32.744563,-105.989461
Regulator,REG_Alamo_Sub,32.908087,-105.973394
Regulator,REG_Holloman,32.840961,-106.064681
Regulator,REG_High_Rolls,32.955635,-105.825957
Regulator,REG_Three_Rivers,33.317556,-106.077511
Capacitor,CAPA_12,32.742164,-105.990001
Capacitor,CAPA_27,33.067603,-106.045344
Capacitor,CAPA_23,33.13049,-106.045793
