lat,lng,sv,date
33.026602,-105.843643,False,
33.027957,-105.842444,False,
33.029196,-105.841343,False,
33.030331,-105.840312,False,
33.031438,-105.839311,False,
33.032635,-105.838225,False,
33.033885,-105.837105,False,
33.035091,-105.836719,False,
33.036296,-105.836334,False,
33.037855,-105.835834,False,
32.985063,-105.827850,False,
32.983542,-105.827536,False,
32.981623,-105.827129,False,
32.980201,-105.826824,False,
32.979424,-105.826661,False,
32.977743,-105.826299,False,
32.976030,-105.825921,False,
32.973803,-105.825445,False,
32.972099,-105.825067,False,
32.971121,-105.825132,False,
32.969690,-105.825215,False,
32.968138,-105.825301,False,
32.967015,-105.825375,False,
32.965784,-105.825442,False,
32.963939,-105.825556,False,
32.962217,-105.825652,False,
32.960163,-105.825767,False,
32.957958,-105.825901,False,
32.956267,-105.825998,False,
32.955161,-105.827191,False,
32.954892,-105.829280,False,
32.953821,-105.830864,False,
32.953316,-105.831581,False,
32.952114,-105.833133,False,
32.951602,-105.834471,False,
32.951151,-105.836844,True,2024-04
32.950376,-105.836674,True,2024-04
32.949476,-105.836705,False,
32.948357,-105.836664,True,2024-04
32.947338,-105.836668,True,2026-02
32.947545,-105.839070,True,2026-02
32.950655,-105.838484,True,2024-04
32.950209,-105.840003,True,2024-04
32.949687,-105.841911,True,2024-04
32.950656,-105.844069,True,2024-04
32.954224,-105.825963,False,
32.952150,-105.825788,True,2024-04
32.950135,-105.825821,True,2024-04
32.949903,-105.824756,False,
32.950906,-105.823014,True,2024-04
32.951964,-105.821208,False,
32.952357,-105.820563,False,
32.952751,-105.819845,False,
32.953054,-105.819345,False,
32.953670,-105.816990,False,
32.954931,-105.815828,False,
32.955829,-105.815016,False,
32.956758,-105.814175,True,2026-02
32.957787,-105.812690,False,
32.958848,-105.810832,False,
32.959364,-105.810054,False,
32.960155,-105.807986,False,
32.960542,-105.805703,False,
32.960807,-105.804938,False,
32.961671,-105.802470,False,
32.961947,-105.801609,False,
32.960571,-105.797588,False,
32.960584,-105.795159,True,2026-02
32.960260,-105.791785,True,2026-02
32.959782,-105.788758,True,2026-02
32.959933,-105.787023,True,2026-02
32.959853,-105.784980,True,2026-02
32.959700,-105.782045,True,2024-04
32.958892,-105.778641,True,2026-02
32.958592,-105.776155,True,2026-02
32.959437,-105.774092,True,2026-02
32.960057,-105.772642,False,
32.960507,-105.771703,False,
32.960676,-105.771351,False,
32.960839,-105.769041,True,2026-02
32.961188,-105.767173,True,2026-02
32.960144,-105.764773,False,
32.958102,-105.762718,False,
32.956050,-105.760247,False,
32.955600,-105.758335,False,
32.955247,-105.755495,False,
32.955069,-105.752835,False,
32.954371,-105.750834,False,
32.950328,-105.821512,True,2024-04
32.949407,-105.819651,True,2024-04
32.949734,-105.817160,False,
32.948224,-105.817591,True,2024-04
32.947607,-105.817618,True,2024-04
32.946291,-105.817080,True,2024-04
32.944442,-105.816315,True,2024-04
32.942399,-105.813138,True,2024-04
32.943278,-105.817415,False,
32.942578,-105.819347,False,
32.941997,-105.820010,False,
32.941235,-105.820404,False,
32.940302,-105.822179,False,
32.939654,-105.823420,False,
32.985107,-105.826234,False,
32.985213,-105.822127,False,
32.985322,-105.818345,False,
32.985397,-105.815666,False,
32.985401,-105.815540,False,
32.985476,-105.812820,False,
32.985570,-105.810142,False,
32.985605,-105.808362,False,
32.985664,-105.806179,False,
32.985736,-105.803592,False,
32.985813,-105.800869,False,
32.985906,-105.797358,False,
32.985944,-105.796132,False,
